# Frequency(Hz) Amplitude
0.000244 3929.383984
0.000488 14803.554200
0.000732 6786.193477
0.000976 15560.922138
0.001220 13719.659539
0.001464 8852.347925
0.001709 15703.808203
0.001953 8260.410938
0.002197 11477.161669
0.002441 22069.350857
0.002685 9174.195888
0.002929 11042.806130
0.003173 13144.404336
0.003417 13654.927115
0.003661 19457.563877
0.003905 12809.211148
0.004149 12049.222245
0.004393 22629.594863
0.004638 19786.510616
0.004882 6797.139653
0.005126 28808.033781
0.005370 6276.976218
0.005614 14769.813257
0.005858 11120.084134
0.006102 2857.557203
0.006346 16990.876469
0.006590 12903.802438
0.006834 16486.999620
0.007078 21751.703663
0.007322 9132.641563
0.007567 9733.030452
0.007811 8312.212146
0.008055 6668.856868
0.008299 10435.252793
0.008543 16919.174461
0.008787 8626.857918
0.009031 18661.302515
0.009275 4654.050035
0.009519 11733.314377
0.009763 3973.209779
0.010007 10620.240939
0.010251 14963.254633
0.010495 4631.936340
0.010740 2918.009498
0.010984 6829.344967
0.011228 1022.378133
0.011472 6382.695008
0.011716 9489.999595
0.011960 4598.972619
0.012204 3152.436547
0.012448 2206.096077
0.012692 6579.620264
0.012936 6152.019046
0.013180 7679.840975
0.013424 10043.924600
0.013669 4274.162980
0.013913 7612.783272
0.014157 14848.466349
0.014401 10505.088940
0.014645 740.104940
0.014889 6656.160251
0.015133 2780.518330
0.015377 7484.406777
0.015621 1140.076872
0.015865 3219.198950
0.016109 7641.874779
0.016353 7538.224116
0.016598 8375.031108
0.016842 1708.451747
0.017086 4158.721260
0.017330 4821.533557
0.017574 6989.149757
0.017818 5344.248301
0.018062 7048.000798
0.018306 4178.868369
0.018550 4809.495163
0.018794 5638.982543
0.019038 5833.595107
0.019282 2186.116637
0.019526 2545.573945
0.019771 9190.057313
0.020015 5659.829523
0.020259 6514.613846
0.020503 5583.156961
0.020747 13543.547023
0.020991 9592.631140
0.021235 7971.212620
0.021479 11002.885049
0.021723 7729.649864
0.021967 3323.546111
0.022211 7459.224718
0.022455 3243.731413
0.022700 3899.817887
0.022944 3849.623911
0.023188 7379.239907
0.023432 4594.413791
0.023676 5880.775982
0.023920 1603.951994
0.024164 4695.978624
0.024408 2895.050364
0.024652 4633.185009
0.024896 4758.530843
0.025140 4536.790982
0.025384 1449.498908
0.025629 2011.827810
0.025873 5566.287317
0.026117 3562.945436
0.026361 3553.007005
0.026605 7647.689852
0.026849 3824.614802
0.027093 6311.176406
0.027337 4714.243520
0.027581 1633.752361
0.027825 8410.460980
0.028069 6619.156739
0.028313 7680.506428
0.028557 4834.943443
0.028802 7870.451751
0.029046 4972.867176
0.029290 3521.210926
0.029534 371.402751
0.029778 2375.478206
0.030022 2370.664684
0.030266 1644.497691
0.030510 2371.400192
0.030754 4929.914710
0.030998 2729.515450
0.031242 6863.042034
0.031486 5042.238698
0.031731 5040.546795
0.031975 4151.000507
0.032219 5133.970285
0.032463 5448.164191
0.032707 8429.171975
0.032951 3575.054843
0.033195 4595.890170
0.033439 8566.268523
0.033683 5655.344703
0.033927 485.460578
0.034171 1516.773051
0.034415 395.810319
0.034660 6741.076569
0.034904 4352.991405
0.035148 4221.500091
0.035392 2157.590186
0.035636 6928.250973
0.035880 4160.577574
0.036124 5516.871798
0.036368 2042.708796
0.036612 2894.720103
0.036856 5886.691513
0.037100 310.596395
0.037344 3499.558115
0.037588 1007.588260
0.037833 4831.612293
0.038077 2690.023649
0.038321 5702.666277
0.038565 2967.442551
0.038809 2661.615062
0.039053 1107.013446
0.039297 4831.150997
0.039541 4238.465518
0.039785 3740.153367
0.040029 3946.724254
0.040273 1802.109435
0.040517 1552.542881
0.040762 2758.995459
0.041006 2395.937480
0.041250 1025.885713
0.041494 4580.299701
0.041738 575.595097
0.041982 5039.742991
0.042226 3546.440474
0.042470 3656.697079
0.042714 5594.013711
0.042958 3510.556910
0.043202 2236.741036
0.043446 4076.040129
0.043691 974.996535
0.043935 4112.058304
0.044179 4125.944152
0.044423 6271.360055
0.044667 4332.047901
0.044911 5729.682567
0.045155 5138.205619
0.045399 1853.562101
0.045643 3475.124687
0.045887 4875.775867
0.046131 2291.166136
0.046375 2643.359001
0.046619 536.856317
0.046864 962.486744
0.047108 2831.543463
0.047352 3012.518602
0.047596 146.725472
0.047840 4406.605145
0.048084 1761.844789
0.048328 3256.942505
0.048572 4099.992226
0.048816 2158.012728
0.049060 4507.095415
0.049304 969.425492
0.049548 4557.292949
0.049793 1970.146125
0.050037 3023.319696
0.050281 2983.861516
0.050525 3373.309759
0.050769 3765.080593
0.051013 1719.847331
0.051257 3896.574441
0.051501 1743.450935
0.051745 3371.476041
0.051989 1469.025923
0.052233 660.548474
0.052477 908.392126
0.052722 2615.312883
0.052966 448.909272
0.053210 2080.054493
0.053454 2178.057751
0.053698 1004.920975
